Index,Name,PAE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TPR1,TPR2,TPR3,TPR4,TPR5,TPR6,TPR7,TPR8,TPR9
182,HNP_w-1,HNP,mNP,mHNP,mONP,,,,,,,,321,322,323,,,,,,
183,HNP_w,HNP,mNP,m8COP,mCPP,,,,,,,,321,324,320,,,,,,
184,DOP_w-1,DOP,mOP,mHOP,mOOP,,,,,,,,325,326,327,,,,,,
185,DOP_w,DOP,mOP,mCHpP,mCPP,,,,,,,,325,328,329,,,,,,
186,HDP_w-1,HDP,mHP,mHHP,mOHP,,,,,,,,330,331,332,,,,,,
187,HDP_w,HDP,mHP,m5CPP,mCPP,,,,,,,,330,333,334,,,,,,
188,HDP_w-1,HDP,mDP,m9PHHP,m9POHP,,,,,,,,335,336,337,,,,,,
189,HDP_mOH,HDP,mDP,mPHHP,m1POHP,,,,,,,,335,338,339,,,,,,
190,HDP_w-1,HDP,mDP,mCNP,mCPP,,,,,,,,335,340,334,,,,,,
191,BCHPP_mono,BCHPP,mCHxPP,,,,,,,,,,341,,,,,,,,
192,iONP_w-1,iONP,miOP,mHiOP,,,,,,,,,342,343,,,,,,,
193,iONP_w,iONP,miOP,71CMP,mCPP,,,,,,,,342,344,345,,,,,,
194,iONP_w-1,iONP,mNP,mHNP,mONP,,,,,,,,346,347,348,,,,,,
195,iONP_w,iONP,mNP,m8COP,mCPP,,,,,,,,346,349,345,,,,,,
196,iDiOP_w-1,iDiOP,miDP,mHiDP,,,,,,,,,350,351,,,,,,,
197,iDiOP_w,iDiOP,miDP,mCiNP,mCPP,,,,,,,,350,352,353,,,,,,
198,iDiOP_w-1,iDiOP,miOP,mHiOP,,,,,,,,,354,355,,,,,,,
199,iDiOP_w,iDiOP,miOP,71CMP,mCPP,,,,,,,,354,356,353,,,,,,
200,BMOP_w-1,BMOP,mMOP,mHMOP,mOMOP,,,,,,,,357,358,359,,,,,,
201,BMOP_w,BMOP,mMOP,81CMP,mCPP,,,,,,,,357,360,361,,,,,,
202,B4MOP_w-1,B4MOP,m4MOP,mH4MOP,mO4MOP,,,,,,,,362,363,364,,,,,,
203,B4MOP_w,B4MOP,m4MOP,mCMEHP,mCPP,,,,,,,,362,365,366,,,,,,
204,DiNP_mOH,DiNP,miNP,mHiNP,,,,,,,,,367,368,,,,,,,
205,DiNP_w,DiNP,miNP,mCiOP,mCPP,,,,,,,,367,370,371,,,,,,
206,DPrHP_w-1,DPrHP,mPrHP,mHPrHP,mPOHP,,,,,,,,369,310,372,,,,,,
207,DPrHP_w,DPrHP,mPrHP,mPCHP,mCPP,,,,,,,,369,373,374,,,,,,
208,iDOP_w-1,iDOP,miDP,mHiDP,,,,,,,,,375,376,,,,,,,
209,iDOP_w,iDOP,miDP,mCiNP,mCPP,,,,,,,,375,377,378,,,,,,
210,iDOP_w-1,iDOP,mOP,mHOP,mOOP,,,,,,,,379,380,381,,,,,,
211,iDOP_w,iDOP,mOP,mCHpP,mCPP,,,,,,,,379,382,378,,,,,,
212,DeiOP_w-1,DeiOP,mDP,m9PHHP,m9POHP,,,,,,,,383,384,385,,,,,,
213,DeiOP_mOH,DeiOP,mDP,mPHHP,m1POHP,,,,,,,,383,386,387,,,,,,
214,DeiOP_w,DeiOP,mDP,mCNP,mCPP,,,,,,,,383,388,389,,,,,,
215,DeiOP_w-1,DeiOP,miOP,mHiOP,,,,,,,,,390,391,,,,,,,
216,DeiOP_w,DeiOP,miOP,71CMP,mCPP,,,,,,,,390,392,389,,,,,,
217,iNNP_w-1,iNNP,miNP,mHiNP,,,,,,,,,393,394,,,,,,,
218,iNNP_w,iNNP,miNP,mCiOP,mCPP,,,,,,,,393,395,396,,,,,,
219,iNNP_w-1,iNNP,mNP,mHNP,mONP,,,,,,,,397,398,399,,,,,,
220,iNNP_w,iNNP,mNP,m8COP,mCPP,,,,,,,,397,400,396,,,,,,
221,ODP_w-1,ODP,mOP,mHOP,mOOP,,,,,,,,401,402,403,,,,,,
222,ODP_w,ODP,mOP,mCHpP,mCPP,,,,,,,,401,404,405,,,,,,
223,ODP_w-1,ODP,mDP,m9PHHP,m9POHP,,,,,,,,406,407,408,,,,,,
224,ODP_mOH,ODP,mDP,mPHHP,m1POHP,,,,,,,,406,409,410,,,,,,
225,ODP_w,ODP,mDP,mCNP,mCPP,,,,,,,,406,411,405,,,,,,
226,HUP_w-1,HUP,mHpP,mHHpP,mOHpP,,,,,,,,412,413,414,,,,,,
227,HUP_w,HUP,mHpP,mCHxP,mCPP,,,,,,,,412,415,416,,,,,,
228,HUP_w-1,HUP,mUP,mHUP,mOUP,,,,,,,,417,418,419,,,,,,
229,HUP_w,HUP,mUP,mCDP,mCPP,,,,,,,,417,420,416,,,,,,
230,DNP_w-1,DNP,mNP,mHNP,mONP,,,,,,,,421,422,423,,,,,,
231,DNP_w,DNP,mNP,m8COP,mCPP,,,,,,,,421,424,425,,,,,,
232,iDiNP_w-1,iDiNP,miDP,mHiDP,,,,,,,,,426,427,,,,,,,
233,iDiNP_w,iDiNP,miDP,mCiNP,mCPP,,,,,,,,426,428,429,,,,,,
234,iDiNP_w-1,iDiNP,miNP,mHiNP,,,,,,,,,430,431,,,,,,,
235,iDiNP_w,iDiNP,miNP,mCiOP,mCPP,,,,,,,,430,432,429,,,,,,
236,iOiUP_w-1,iOiUP,miOP,mHiOP,,,,,,,,,433,434,,,,,,,
237,iOiUP_w,iOiUP,miOP,71CMP,mCPP,,,,,,,,433,435,436,,,,,,
238,iOiUP_w-1,iOiUP,miUP,mHiUP,,,,,,,,,437,438,,,,,,,
239,iOiUP_w,iOiUP,miUP,109CMP,mCPP,,,,,,,,437,439,436,,,,,,
240,DDcP_mono,DDcP,mDcP,,,,,,,,,,440,,,,,,,,
241,iOUP_w-1,iOUP,miOP,mHiOP,,,,,,,,,441,442,,,,,,,
242,iOUP_w,iOUP,miOP,71CMP,mCPP,,,,,,,,441,443,448,,,,,,
243,iOUP_w-1,iOUP,mUP,mHUP,mOUP,,,,,,,,444,445,446,,,,,,
244,iOUP_w,iOUP,mUP,mCDP,mCPP,,,,,,,,444,447,448,,,,,,
245,DeiNP_w-1,DeiNP,mDP,m9PHHP,m9POHP,,,,,,,,449,450,451,,,,,,
246,DeiNP_mOH,DeiNP,mDP,mPHHP,m1POHP,,,,,,,,449,452,453,,,,,,
247,DeiNP_w,DeiNP,mDP,mCNP,mCPP,,,,,,,,449,454,455,,,,,,
248,DeiNP_w-1,DeiNP,miUP,mHiUP,,,,,,,,,456,457,,,,,,,
249,DeiNP_w,DeiNP,miUP,109CMP,mCPP,,,,,,,,456,458,455,,,,,,
250,HiTP_w-1,HiTP,mHP,mHHP,mOHP,,,,,,,,459,460,461,,,,,,
251,HiTP_w,HiTP,mHP,m5CPP,mCPP,,,,,,,,459,462,463,,,,,,
252,HiTP_w-1,HiTP,miTP,mHiTP,,,,,,,,,464,465,,,,,,,
253,HiTP_w,HiTP,miTP,121CMP,mCPP,,,,,,,,464,466,463,,,,,,
254,iDNP_w-1,iDNP,miDP,mHiDP,,,,,,,,,467,468,,,,,,,
255,iDNP_w,iDNP,miDP,mCiNP,mCPP,,,,,,,,467,469,470,,,,,,
256,iDNP_w-1,iDNP,mNP,mHNP,mONP,,,,,,,,471,472,473,,,,,,
257,iDNP_w,iDNP,mNP,m8COP,mCPP,,,,,,,,471,474,470,,,,,,
258,iNiUP_w-1,iNiUP,miNP,mHiNP,,,,,,,,,475,476,,,,,,,
259,iNiUP_w,iNiUP,miNP,mCiOP,mCPP,,,,,,,,475,477,478,,,,,,
260,iNiUP_w-1,iNiUP,miUP,mHiUP,,,,,,,,,479,480,,,,,,,
261,iNiUP_w,iNiUP,miUP,109CMP,mCPP,,,,,,,,479,481,478,,,,,,
262,DiDP_w-1,DiDP,miDP,mHiDP,,,,,,,,,482,483,,,,,,,
263,DiDP_w,DiDP,miDP,mCiNP,mCPP,,,,,,,,482,484,485,,,,,,
264,DeNP_w-1,DeNP,mDP,m9PHHP,m9POHP,,,,,,,,486,487,488,,,,,,
265,DeNP_mOH,DeNP,mDP,mPHHP,m1POHP,,,,,,,,486,489,490,,,,,,
266,DeNP_w,DeNP,mDP,mCNP,mCPP,,,,,,,,486,491,492,,,,,,
267,DeNP_w-1,DeNP,mNP,mHNP,mONP,,,,,,,,493,494,495,,,,,,
268,DeNP_w,DeNP,mNP,m8COP,mCPP,,,,,,,,493,496,492,,,,,,
269,iNUP_w-1,iNUP,miNP,mHiNP,,,,,,,,,497,498,,,,,,,
270,iNUP_w,iNUP,miNP,mCiOP,mCPP,,,,,,,,497,499,500,,,,,,
271,iNUP_w-1,iNUP,mUP,mHUP,mOUP,,,,,,,,501,502,503,,,,,,
272,iNUP_w,iNUP,mUP,mCDP,mCPP,,,,,,,,497,504,500,,,,,,
273,iUNP_w-1,iUNP,miUP,mHiUP,,,,,,,,,505,506,,,,,,,
274,iUNP_w,iUNP,miUP,109CMP,mCPP,,,,,,,,505,507,508,,,,,,
275,iUNP_w-1,iUNP,mNP,mHNP,mONP,,,,,,,,509,510,511,,,,,,
276,iUNP_w,iUNP,mNP,m8COP,mCPP,,,,,,,,509,512,508,,,,,,
277,NUP_w-1,NUP,mNP,mHNP,mONP,,,,,,,,513,514,515,,,,,,
278,NUP_w,NUP,mNP,m8COP,mCPP,,,,,,,,513,516,517,,,,,,
279,NUP_w-1,NUP,mUP,mHUP,mOUP,,,,,,,,518,519,520,,,,,,
280,NUP_w,NUP,mUP,mCDP,mCPP,,,,,,,,518,521,517,,,,,,
281,DDP_w-1,DDP,mDP,m9PHHP,m9POHP,,,,,,,,522,523,524,,,,,,
282,DDP_mOH,DDP,mDP,mPHHP,m1POHP,,,,,,,,522,525,526,,,,,,
283,DDP_w,DDP,mDP,mCNP,mCPP,,,,,,,,522,527,528,,,,,,
284,DeiUP_w-1,DeiUP,mDP,m9PHHP,m9POHP,,,,,,,,529,530,531,,,,,,
285,DeiUP_mOH,DeiUP,mDP,mPHHP,m1POHP,,,,,,,,529,532,533,,,,,,
286,DeiUP_w,DeiUP,mDP,mCNP,mCPP,,,,,,,,529,534,535,,,,,,
287,DeiUP_w-1,DeiUP,miUP,mHiUP,,,,,,,,,536,537,,,,,,,
288,DeiUP_w,DeiUP,miUP,109CMP,mCPP,,,,,,,,536,538,535,,,,,,
289,iDUP_w-1,iDUP,miDP,mHiDP,,,,,,,,,539,540,,,,,,,
290,iDUP_w,iDUP,miDP,mCiNP,mCPP,,,,,,,,539,541,542,,,,,,
291,iDUP_w-1,iDUP,mUP,mHUP,mOUP,,,,,,,,543,544,545,,,,,,
292,iDUP_w,iDUP,mUP,mCDP,mCPP,,,,,,,,543,546,542,,,,,,
293,NTP_w-1,NTP,mNP,mHNP,mONP,,,,,,,,547,548,549,,,,,,
294,NTP_w,NTP,mNP,m8COP,mCPP,,,,,,,,547,550,551,,,,,,
295,NTP_w-1,NTP,mTDP,mHTDP,mOTDP,,,,,,,,552,553,554,,,,,,
296,NTP_w,NTP,mTDP,107CMP,mCPP,,,,,,,,552,555,551,,,,,,
297,iNiTP_w-1,iNiTP,miNP,mHiNP,,,,,,,,,556,557,,,,,,,
298,iNiTP_w,iNiTP,miNP,mCiOP,mCPP,,,,,,,,556,558,559,,,,,,
299,iNiTP_w-1,iNiTP,miTP,mHiTP,,,,,,,,,560,561,,,,,,,
300,iNiTP_w,iNiTP,miTP,121CMP,mCPP,,,,,,,,560,562,559,,,,,,
301,DiUP_w-1,DiUP,miUP,mHiUP,,,,,,,,,563,564,,,,,,,
302,DiUP_w,DiUP,miUP,109CMP,mCPP,,,,,,,,563,565,566,,,,,,
303,DeUP_w-1,DeUP,mDP,m9PHHP,m9POHP,,,,,,,,567,568,569,,,,,,
304,DeUP_mOH,DeUP,mDP,mPHHP,m1POHP,,,,,,,,567,570,571,,,,,,
305,DeUP_w,DeUP,mDP,mCNP,mCPP,,,,,,,,567,572,573,,,,,,
306,DeUP_w-1,DeUP,mUP,mHUP,mOUP,,,,,,,,574,575,576,,,,,,
307,DeUP_w,DeUP,mUP,mCDP,mCPP,,,,,,,,574,577,573,,,,,,
308,BTNP_w-1,BTNP,mTNP,mHTNP,,,,,,,,,578,579,,,,,,,
309,BTNP_w,BTNP,mTNP,111CMP,mCPP,,,,,,,,578,580,581,,,,,,
310,iUUP_w-1,iUUP,miUP,mHiUP,,,,,,,,,582,583,,,,,,,
311,iUUP_w,iUUP,miUP,109CMP,mCPP,,,,,,,,582,584,585,,,,,,
312,iUUP_w-1,iUUP,mUP,mHUP,mOUP,,,,,,,,586,587,588,,,,,,
313,iUUP_w,iUUP,mUP,mCDP,mCPP,,,,,,,,586,589,585,,,,,,
314,iTNP_w-1,iTNP,miTP,mHiTP,,,,,,,,,590,591,,,,,,,
315,iTNP_w,iTNP,miTP,121CMP,mCPP,,,,,,,,590,592,593,,,,,,
316,iTNP_w-1,iTNP,mNP,mHNP,mONP,,,,,,,,594,595,596,,,,,,
317,iTNP_w,iTNP,mNP,m8COP,mCPP,,,,,,,,594,597,593,,,,,,
318,DUP_w-1,DUP,mUP,mHUP,mOUP,,,,,,,,598,599,600,,,,,,
319,DUP_w,DUP,mUP,mCDP,mCPP,,,,,,,,598,601,602,,,,,,
320,iDiTP_w-1,iDiTP,miDP,mHiDP,,,,,,,,,603,604,,,,,,,
321,iDiTP_w,iDiTP,miDP,mCiNP,mCPP,,,,,,,,603,605,606,,,,,,
322,iDiTP_w-1,iDiTP,miTP,mHiTP,,,,,,,,,607,608,,,,,,,
323,iDiTP_w,iDiTP,miTP,121CMP,mCPP,,,,,,,,607,609,606,,,,,,
324,iDTP_w-1,iDTP,miDP,mHiDP,,,,,,,,,610,611,,,,,,,
325,iDTP_w,iDTP,miDP,mCiNP,mCPP,,,,,,,,610,612,613,,,,,,
326,iDTP_w-1,iDTP,mTP,mHTP,mOTP,,,,,,,,614,615,616,,,,,,
327,iDTP_w,iDTP,mTP,122CMP,mCPP,,,,,,,,614,617,613,,,,,,
328,DeiTP_w-1,DeiTP,mDP,m9PHHP,m9POHP,,,,,,,,618,619,620,,,,,,
329,DeiTP_mOH,DeiTP,mDP,mPHHP,m1POHP,,,,,,,,618,621,622,,,,,,
330,DeiTP_w,DeiTP,mDP,mCNP,mCPP,,,,,,,,618,623,624,,,,,,
331,DeiTP_w-1,DeiTP,miTP,mHiTP,,,,,,,,,625,626,,,,,,,
332,DeiTP_w,DeiTP,miTP,121CMP,mCPP,,,,,,,,625,627,624,,,,,,
333,iTiUP_w-1,iTiUP,miTP,mHiTP,,,,,,,,,628,629,,,,,,,
334,iTiUP_w,iTiUP,miTP,121CMP,mCPP,,,,,,,,628,630,631,,,,,,
335,iTiUP_w-1,iTiUP,miUP,mHiUP,,,,,,,,,632,633,,,,,,,
336,iTiUP_w,iTiUP,miUP,109CMP,mCPP,,,,,,,,632,634,631,,,,,,
337,iTUP_w-1,iTUP,miTP,mHiTP,,,,,,,,,635,636,,,,,,,
338,iTUP_w,iTUP,miTP,121CMP,mCPP,,,,,,,,635,637,638,,,,,,
339,iTUP_w-1,iTUP,mUP,mHUP,mOUP,,,,,,,,639,640,641,,,,,,
340,iTUP_w,iTUP,mUP,mCDP,mCPP,,,,,,,,639,642,638,,,,,,
341,DDdP_w-1,DDdP,mDdP,mHDdP,mODdP,,,,,,,,643,644,645,,,,,,
342,DDdP_w,DDdP,mDdP,120CMP,mCPP,,,,,,,,643,646,647,,,,,,
343,DiTP_w-1,DiTP,miTP,mHiTP,,,,,,,,,648,649,,,,,,,
344,DiTP_w,DiTP,miTP,121CMP,mCPP,,,,,,,,648,650,651,,,,,,
345,DTP_w-1,DTP,mTP,mHTP,mOTP,,,,,,,,652,653,654,,,,,,
346,DTP_w,DTP,mTP,122CMP,mCPP,,,,,,,,652,655,656,,,,,,
347,DOcP_w-1,DOcP,mOcP,mHOcP,mOOcP,,,,,,,,657,658,659,,,,,,
348,DOcP_w,DOcP,mOcP,123CMP,mCPP,,,,,,,,657,660,661,,,,,,
349,DEEP_w,DEEP,mEEP,mDeGP,,,,,,,,,17,662,,,,,,,
